Day,SNS Source,SNS Target
2020-11-24,Gab,Bitchute
2020-12-05,Gab,Bitchute
2020-12-05,Gab,Bitchute
2020-12-05,Gab,Bitchute
2020-12-05,Gab,Bitchute
2020-12-05,Gab,Bitchute
2020-12-07,Gab,Bitchute
2020-11-07,Twitter,4Chan
2020-12-22,Gab,Bitchute
2020-11-18,Bitchute,Bitchute
2020-11-19,Bitchute,Bitchute
2020-12-22,Bitchute,Bitchute
2020-12-20,Bitchute,Bitchute
2020-12-27,Bitchute,Bitchute
2020-12-20,Bitchute,Bitchute
2020-12-18,Bitchute,Bitchute
2020-11-17,Bitchute,Bitchute
2020-11-04,Gab,Bitchute
2020-11-10,Gab,Bitchute
2020-12-10,TG,Bitchute
2020-12-10,TG,Bitchute
2020-12-10,TG,Bitchute
2020-12-15,Bitchute,Bitchute
2020-11-15,Bitchute,Bitchute
2020-11-17,4Chan,Bitchute
2020-12-04,4Chan,Bitchute
2020-12-26,4Chan,Bitchute
2020-12-03,TG,Bitchute
2020-12-06,TG,Bitchute
2020-12-12,TG,Bitchute
2020-12-23,TG,Bitchute
2020-12-03,TG,Bitchute
2020-12-03,TG,Bitchute
2020-12-03,TG,Bitchute
2020-12-04,Bitchute,Bitchute
2020-12-04,Bitchute,Bitchute
2020-12-04,Bitchute,Bitchute
2020-12-04,Bitchute,Bitchute
2020-12-04,Bitchute,Bitchute
2020-12-04,Bitchute,Bitchute
2020-12-04,Bitchute,Bitchute
2020-12-04,Bitchute,Bitchute
2020-12-04,Bitchute,Bitchute
2020-12-04,Bitchute,Bitchute
2020-12-04,Bitchute,Bitchute
2020-12-04,Bitchute,Bitchute
2020-12-04,Bitchute,Bitchute
2020-11-16,4Chan,Bitchute
2020-11-16,4Chan,Bitchute
2020-11-21,Gab,Bitchute
2020-12-27,4Chan,Bitchute
2020-12-27,4Chan,Bitchute
2020-12-27,4Chan,Bitchute
2020-12-27,4Chan,Bitchute
2020-12-27,4Chan,Bitchute
2020-12-28,4Chan,Bitchute
2020-12-28,4Chan,Bitchute
2020-12-28,4Chan,Bitchute
2020-11-07,4Chan,Bitchute
2020-11-17,TG,Bitchute
2020-11-08,Bitchute,Bitchute
2020-11-08,Bitchute,Bitchute
2020-11-08,Bitchute,Bitchute
2020-11-07,Bitchute,Bitchute
2021-01-03,4Chan,Bitchute
2021-01-02,Gab,Bitchute
2021-01-02,4Chan,Bitchute
2021-01-02,4Chan,Bitchute
2021-01-03,4Chan,Bitchute
2021-01-02,4Chan,Bitchute
2021-01-03,4Chan,Bitchute
2021-01-02,Gab,Bitchute
2021-01-01,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-03,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-03,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-04,4Chan,Bitchute
2021-01-01,4Chan,Bitchute
2021-01-01,4Chan,Bitchute
2021-01-03,4Chan,Bitchute
2020-12-11,4Chan,Bitchute
2020-12-11,4Chan,Bitchute
2020-12-11,4Chan,Bitchute
2020-12-11,4Chan,Bitchute
2020-12-13,4Chan,Bitchute
2020-12-17,4Chan,Bitchute
2020-12-17,4Chan,Bitchute
2020-12-17,4Chan,Bitchute
2020-12-22,4Chan,Bitchute
2020-12-26,4Chan,Bitchute
2020-12-26,4Chan,Bitchute
2020-12-26,4Chan,Bitchute
2020-12-26,4Chan,Bitchute
2020-12-26,4Chan,Bitchute
2020-11-29,4Chan,Bitchute
2020-11-06,Twitter,4Chan
2020-12-02,4Chan,Bitchute
2020-12-07,Gab,Bitchute
2020-12-25,4Chan,Bitchute
2020-12-25,4Chan,Bitchute
2020-12-05,TG,Bitchute
2020-11-14,TG,Bitchute
2020-11-20,TG,Bitchute
2020-12-01,TG,Bitchute
2021-01-03,Bitchute,Bitchute
2020-12-18,Bitchute,Bitchute
2020-12-18,Bitchute,Bitchute
2020-12-18,Bitchute,Bitchute
2020-12-18,Bitchute,Bitchute
2020-11-17,Bitchute,Bitchute
2020-12-18,Bitchute,Bitchute
2020-11-20,Bitchute,Bitchute
2020-11-16,Bitchute,Bitchute
2020-11-16,Bitchute,Bitchute
2020-11-16,Bitchute,Bitchute
2020-11-16,Bitchute,Bitchute
2020-11-16,Bitchute,Bitchute
2020-11-16,Bitchute,Bitchute
2020-11-16,Bitchute,Bitchute
2020-11-16,Bitchute,Bitchute
2020-12-18,Bitchute,Bitchute
2020-11-03,4Chan,Bitchute
2020-11-06,4Chan,Bitchute
2020-11-06,4Chan,Bitchute
2020-11-07,4Chan,Bitchute
2020-11-07,4Chan,Bitchute
2020-11-07,4Chan,Bitchute
2020-11-07,4Chan,Bitchute
2020-11-07,4Chan,Bitchute
2020-11-08,4Chan,Bitchute
2021-01-05,4Chan,Bitchute
2020-11-06,Twitter,4Chan
2020-11-13,4Chan,Bitchute
